participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
77,1,6.0317,1,positive
77,4,2.6132,2,none
77,4,26.9313,3,none
77,2,6.6261,4,negative
77,3,1.9687,5,none
77,2,2.7526,6,positive
77,1,2.1625,7,none
77,3,2.3775,8,negative
77,4,1.8802,9,none
77,2,27.1261,10,negative
77,2,4.4088,11,negative
77,3,3.718,12,negative
77,3,3.6105,13,none
77,4,5.8962,14,negative
77,4,8.7895,15,negative
77,4,2.1751,16,none
77,2,1.7396,17,none
77,4,3.1428,18,negative
77,1,3.0095,19,positive
77,2,3.0272,20,none
77,4,4.7766,21,negative
77,1,3.7423,22,positive
77,2,8.9185,23,none
77,1,1.6846,24,none
77,2,2.2929,25,positive
77,2,5.4097,26,positive
77,4,6.5163,27,negative
77,3,3.6021,28,negative
77,4,4.5452,29,negative
77,2,2.675,30,none
77,4,1.8614,31,none
77,4,3.5798,32,negative
77,4,1.5384,33,none
77,2,2.9304,34,negative
77,1,2.6257,35,positive
77,2,10.6821,36,positive
77,1,2.5924,37,positive
77,2,2.2704,38,positive
77,2,5.9875,39,negative
77,1,2.2708,40,none
77,2,3.3096,41,positive
77,2,3.2022,42,positive
77,2,2.162,43,positive
77,1,3.5782,44,positive
77,2,3.681,45,none
77,4,6.7538,46,negative
77,2,2.3264,47,none
77,3,2.7611,48,negative
77,3,4.0269,49,negative
77,3,5.1576,50,negative
77,1,3.2236,51,none
77,2,4.0366,52,positive
77,3,2.3625,53,none
77,2,3.0761,54,positive
77,1,1.8205,55,positive
77,1,2.6848,56,none
77,2,4.0281,57,positive
77,2,1.7221,58,positive
77,2,2.2973,59,positive
77,1,2.9157,60,positive
