participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
96,2,7.5532,1,positive
96,3,7.6097,2,none
96,2,2.4699,3,none
96,3,6.6113,4,negative
96,2,2.7375,5,none
96,1,2.13,6,positive
96,2,3.0363,7,none
96,4,5.0124,8,negative
96,2,3.0242,9,none
96,4,5.8249,10,negative
96,3,3.5172,11,negative
96,4,3.1395,12,negative
96,3,6.9283,13,none
96,3,4.6966,14,negative
96,4,4.3859,15,negative
96,3,4.2204,16,none
96,2,3.9468,17,none
96,4,48.7472,18,negative
96,3,6.6798,19,positive
96,2,3.39,20,none
96,3,4.461,21,negative
96,2,2.5017,22,positive
96,2,7.0981,23,none
96,3,3.1624,24,none
96,2,39.5038,25,positive
96,2,3.197,26,positive
96,4,11.2375,27,negative
96,3,4.3619,28,negative
96,2,7.3524,29,negative
96,4,2.6693,30,none
96,3,2.7878,31,none
96,4,5.3126,32,negative
96,4,2.1505,33,none
96,4,4.8043,34,negative
96,1,4.5131,35,positive
96,2,4.6556,36,positive
96,2,6.291,37,positive
96,1,2.9692,38,positive
96,2,4.877,39,negative
96,2,3.905,40,none
96,2,4.6117,41,positive
96,1,2.5685,42,positive
96,2,4.4815,43,positive
96,2,2.5859,44,positive
96,3,3.0802,45,none
96,4,3.9867,46,negative
96,4,7.3347,47,none
96,4,8.1418,48,negative
96,3,6.6835,49,negative
96,3,4.7117,50,negative
96,1,4.5746,51,none
96,2,3.6638,52,positive
96,3,3.1863,53,none
96,2,18.3528,54,positive
96,2,2.2952,55,positive
96,2,3.8745,56,none
96,2,4.653,57,positive
96,2,2.2727,58,positive
96,2,5.9816,59,positive
96,2,10.7687,60,positive
