participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
58,2,2.6539,1,positive
58,4,2.146,2,none
58,4,4.7011,3,none
58,1,9.8841,4,negative
58,2,1.6941,5,none
58,3,2.2599,6,positive
58,1,2.3951,7,none
58,1,1.5342,8,negative
58,1,1.1178,9,none
58,2,3.2616,10,negative
58,4,2.7178,11,negative
58,3,3.6728,12,negative
58,2,2.1016,13,none
58,1,3.1348,14,negative
58,1,3.5348,15,negative
58,2,1.6344,16,none
58,1,2.8237,17,none
58,4,2.6056,18,negative
58,4,2.3845,19,positive
58,2,2.9101,20,none
58,1,1.7631,21,negative
58,4,2.0415,22,positive
58,4,3.0839,23,none
58,3,2.7183,24,none
58,3,2.4528,25,positive
58,3,2.3676,26,positive
58,2,2.5671,27,negative
58,1,2.5096,28,negative
58,1,3.0343,29,negative
58,3,1.1841,30,none
58,4,2.3948,31,none
58,2,3.6749,32,negative
58,1,1.4273,33,none
58,3,1.2466,34,negative
58,1,0.0525,35,positive
58,4,7.2738,36,positive
58,1,4.6838,37,positive
58,1,4.9569,38,positive
58,1,1.3902,39,negative
58,1,1.0559,40,none
58,3,3.4281,41,positive
58,2,2.1718,42,positive
58,3,3.7038,43,positive
58,3,1.8609,44,positive
58,1,3.201,45,none
58,2,1.7876,46,negative
58,4,2.2173,47,none
58,1,2.3074,48,negative
58,2,2.6524,49,negative
58,2,2.0218,50,negative
58,1,2.4099,51,none
58,4,2.268,52,positive
58,2,2.8885,53,none
58,4,3.4062,54,positive
58,4,1.5073,55,positive
58,1,4.0285,56,none
58,2,2.5462,57,positive
58,3,2.4011,58,positive
58,3,1.6179,59,positive
58,3,3.412,60,positive
