participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
36,4,8.634,1,positive
36,1,2.01,2,none
36,4,2.826,3,none
36,3,9.223,4,negative
36,4,4.776,5,none
36,3,5.365,6,positive
36,3,5.531,7,none
36,1,2.787,8,negative
36,1,2.579,9,none
36,2,5.524,10,negative
36,4,3.561,11,negative
36,2,4.662,12,negative
36,2,2.91,13,none
36,1,2.595,14,negative
36,1,4.689,15,negative
36,4,3.061,16,none
36,4,3.446,17,none
36,4,2.628,18,negative
36,4,5.961,19,positive
36,1,4.098,20,none
36,2,5.561,21,negative
36,4,2.378,22,positive
36,4,2.622,23,none
36,4,1.979,24,none
36,4,2.027,25,positive
36,4,1.643,26,positive
36,3,5.392,27,negative
36,3,5.495,28,negative
36,2,4.66,29,negative
36,4,3.328,30,none
36,4,1.911,31,none
36,3,2.994,32,negative
36,4,2.202,33,none
36,4,3.007,34,negative
36,4,11.56,35,positive
36,4,3.993,36,positive
36,4,7.21,37,positive
36,1,1.511,38,positive
36,2,7.112,39,negative
36,1,2.538,40,none
36,4,6.258,41,positive
36,2,4.945,42,positive
36,4,4.777,43,positive
36,4,4.694,44,positive
36,3,5.996,45,none
36,3,10.054,46,negative
36,1,3.257,47,none
36,2,3.612,48,negative
36,3,4.411,49,negative
36,3,1.844,50,negative
36,1,2.381,51,none
36,4,3.644,52,positive
36,1,1.88,53,none
36,4,3.52,54,positive
36,4,2.541,55,positive
36,1,2.596,56,none
36,4,10.492,57,positive
36,4,1.778,58,positive
36,3,4.993,59,positive
36,3,6.016,60,positive
