participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
99,4,3.0309,1,positive
99,3,6.028,2,none
99,3,1.7408,3,none
99,4,4.5979,4,negative
99,2,2.0747,5,none
99,4,1.7971,6,positive
99,1,6.6614,7,none
99,3,2.773,8,negative
99,2,2.7312,9,none
99,2,2.6477,10,negative
99,4,3.0342,11,negative
99,4,3.4428,12,negative
99,1,5.995,13,none
99,4,5.8058,14,negative
99,2,5.269,15,negative
99,4,4.162,16,none
99,2,2.1663,17,none
99,4,2.1487,18,negative
99,1,3.0224,19,positive
99,1,3.0318,20,none
99,3,3.3804,21,negative
99,2,1.6545,22,positive
99,1,2.277,23,none
99,4,2.5397,24,none
99,1,1.773,25,positive
99,1,1.5228,26,positive
99,4,4.661,27,negative
99,1,7.2698,28,negative
99,2,3.1802,29,negative
99,3,2.9666,30,none
99,1,4.3085,31,none
99,3,2.5796,32,negative
99,2,1.985,33,none
99,1,2.1812,34,negative
99,1,3.2031,35,positive
99,2,2.9281,36,positive
99,2,3.4992,37,positive
99,3,3.1906,38,positive
99,2,3.0553,39,negative
99,1,1.7111,40,none
99,1,2.2631,41,positive
99,2,3.7019,42,positive
99,2,2.2649,43,positive
99,1,2.8307,44,positive
99,2,2.0252,45,none
99,1,2.0974,46,negative
99,1,1.9134,47,none
99,2,1.8411,48,negative
99,4,4.2444,49,negative
99,2,4.243,50,negative
99,1,1.753,51,none
99,1,1.6763,52,positive
99,2,4.1116,53,none
99,2,2.3159,54,positive
99,1,1.3873,55,positive
99,3,2.4452,56,none
99,2,4.1812,57,positive
99,2,1.4407,58,positive
99,2,1.9239,59,positive
99,2,1.9654,60,positive
