participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
23,3,3.9094,1,positive
23,2,1.084,2,none
23,4,2.0388,3,none
23,4,4.87,4,negative
23,4,1.3368,5,none
23,2,1.8869,6,positive
23,2,3.1015,7,none
23,2,1.5173,8,negative
23,4,1.926,9,none
23,3,3.8523,10,negative
23,3,6.4569,11,negative
23,3,2.439,12,negative
23,2,1.5924,13,none
23,3,3.3728,14,negative
23,3,4.6859,15,negative
23,4,2.4985,16,none
23,3,2.7887,17,none
23,3,2.2168,18,negative
23,3,5.2832,19,positive
23,2,2.1971,20,none
23,3,1.7513,21,negative
23,3,1.9699,22,positive
23,3,4.8468,23,none
23,3,2.1423,24,none
23,2,2.5531,25,positive
23,3,5.9783,26,positive
23,3,6.1824,27,negative
23,3,4.9096,28,negative
23,3,2.8187,29,negative
23,3,1.7003,30,none
23,4,1.2236,31,none
23,4,2.2027,32,negative
23,3,1.2323,33,none
23,3,1.5325,34,negative
23,3,1.9995,35,positive
23,3,2.744,36,positive
23,2,4.5179,37,positive
23,2,1.3164,38,positive
23,3,10.3382,39,negative
23,3,4.2344,40,none
23,2,8.4172,41,positive
23,2,0.2026,42,positive
23,3,3.2893,43,positive
23,3,2.6378,44,positive
23,3,2.1727,45,none
23,3,1.7157,46,negative
23,4,2.0814,47,none
23,3,1.9627,48,negative
23,2,1.5252,49,negative
23,4,4.1825,50,negative
23,3,1.8851,51,none
23,2,2.9501,52,positive
23,3,0.9311,53,none
23,3,3.2508,54,positive
23,3,4.2657,55,positive
23,2,4.2168,56,none
23,3,2.1578,57,positive
23,3,1.6011,58,positive
23,2,1.4439,59,positive
23,2,1.9384,60,positive
