participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
82,1,7.444,1,positive
82,2,4.034,2,none
82,1,1.813,3,none
82,4,4.986,4,negative
82,3,4.104,5,none
82,1,1.747,6,positive
82,2,3.641,7,none
82,4,2.691,8,negative
82,2,2.609,9,none
82,4,4.315,10,negative
82,4,2.658,11,negative
82,4,2.232,12,negative
82,1,1.968,13,none
82,4,4.304,14,negative
82,4,2.859,15,negative
82,4,2.272,16,none
82,4,1.881,17,none
82,4,2.114,18,negative
82,1,3.169,19,positive
82,1,1.946,20,none
82,4,2.91,21,negative
82,1,1.686,22,positive
82,1,2.883,23,none
82,3,2.595,24,none
82,1,1.82,25,positive
82,1,2.424,26,positive
82,4,3.153,27,negative
82,4,4.518,28,negative
82,4,4.104,29,negative
82,4,1.196,30,none
82,3,2.948,31,none
82,4,1.941,32,negative
82,4,1.672,33,none
82,4,1.854,34,negative
82,1,6.842,35,positive
82,1,2.304,36,positive
82,1,4.202,37,positive
82,1,1.296,38,positive
82,1,2.284,39,negative
82,2,2.142,40,none
82,1,3.638,41,positive
82,1,1.317,42,positive
82,1,1.806,43,positive
82,1,4.599,44,positive
82,4,2.699,45,none
82,4,1.455,46,negative
82,2,2.366,47,none
82,4,6.148,48,negative
82,4,2.392,49,negative
82,4,2.908,50,negative
82,2,3.428,51,none
82,1,2.004,52,positive
82,1,4.072,53,none
82,1,2.326,54,positive
82,1,1.738,55,positive
82,1,1.572,56,none
82,1,7.911,57,positive
82,1,1.484,58,positive
82,2,2.585,59,positive
82,1,1.956,60,positive
