participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
88,1,6.5675,1,positive
88,3,6.8492,2,none
88,4,6.8436,3,none
88,2,14.5783,4,negative
88,3,6.3545,5,none
88,3,7.4772,6,positive
88,3,6.8671,7,none
88,3,5.4035,8,negative
88,4,8.0606,9,none
88,3,13.035,10,negative
88,2,8.1459,11,negative
88,4,10.7428,12,negative
88,3,5.9445,13,none
88,4,7.759,14,negative
88,2,8.5794,15,negative
88,4,12.5622,16,none
88,3,9.003,17,none
88,4,4.313,18,negative
88,2,9.1179,19,positive
88,1,5.9535,20,none
88,3,7.1172,21,negative
88,2,4.0837,22,positive
88,2,6.675,23,none
88,1,4.3786,24,none
88,2,8.7891,25,positive
88,1,4.9756,26,positive
88,3,12.1254,27,negative
88,4,8.1383,28,negative
88,4,8.9008,29,negative
88,3,7.8334,30,none
88,2,3.9273,31,none
88,4,4.8723,32,negative
88,4,4.0564,33,none
88,3,8.3046,34,negative
88,3,8.6909,35,positive
88,2,6.4339,36,positive
88,2,6.6105,37,positive
88,1,7.0342,38,positive
88,1,6.4412,39,negative
88,3,6.8203,40,none
88,2,6.9098,41,positive
88,1,5.0907,42,positive
88,2,7.5165,43,positive
88,1,6.8172,44,positive
88,1,5.95,45,none
88,4,5.8565,46,negative
88,2,5.6727,47,none
88,3,12.3723,48,negative
88,3,7.5062,49,negative
88,4,4.2187,50,negative
88,2,6.1857,51,none
88,2,5.4609,52,positive
88,3,4.9706,53,none
88,1,6.5023,54,positive
88,2,3.4622,55,positive
88,2,6.3544,56,none
88,3,10.5807,57,positive
88,2,3.5538,58,positive
88,3,5.4098,59,positive
88,2,5.6575,60,positive
