participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
12,3,6.2583,1,positive
12,1,1.7888,2,none
12,4,2.6101,3,none
12,2,4.9527,4,negative
12,1,1.8927,5,none
12,3,3.1626,6,positive
12,1,1.8992,7,none
12,1,1.6544,8,negative
12,4,4.6408,9,none
12,1,2.8921,10,negative
12,4,2.4698,11,negative
12,3,3.7298,12,negative
12,1,2.362,13,none
12,2,2.3787,14,negative
12,1,2.9339,15,negative
12,4,11.0796,16,none
12,2,2.6398,17,none
12,4,2.3126,18,negative
12,3,4.2966,19,positive
12,1,1.8732,20,none
12,2,3.3086,21,negative
12,3,1.7014,22,positive
12,4,2.2189,23,none
12,4,1.7711,24,none
12,3,1.8646,25,positive
12,3,1.8838,26,positive
12,3,4.1649,27,negative
12,3,4.0183,28,negative
12,3,5.1795,29,negative
12,3,4.5101,30,none
12,3,2.0386,31,none
12,3,2.9473,32,negative
12,1,1.6967,33,none
12,2,1.9285,34,negative
12,4,1.9953,35,positive
12,3,5.3832,36,positive
12,4,3.4187,37,positive
12,1,1.6633,38,positive
12,1,3.2436,39,negative
12,1,2.0144,40,none
12,3,2.3139,41,positive
12,2,1.9863,42,positive
12,3,4.0469,43,positive
12,3,3.3058,44,positive
12,2,1.6325,45,none
12,4,4.3772,46,negative
12,1,2.4128,47,none
12,3,5.5483,48,negative
12,2,2.1872,49,negative
12,3,2.3133,50,negative
12,2,2.3955,51,none
12,3,2.3011,52,positive
12,1,1.5153,53,none
12,4,2.7905,54,positive
12,4,1.8129,55,positive
12,1,1.6791,56,none
12,4,2.8753,57,positive
12,4,1.8518,58,positive
12,4,2.0981,59,positive
12,4,2.6121,60,positive
