participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
62,2,14.2688,1,positive
62,3,4.6494,2,none
62,2,2.95,3,none
62,2,7.4474,4,negative
62,2,1.9358,5,none
62,1,2.7114,6,positive
62,2,3.4021,7,none
62,2,2.6001,8,negative
62,3,3.6813,9,none
62,2,4.2622,10,negative
62,3,4.7962,11,negative
62,3,4.0553,12,negative
62,3,6.2159,13,none
62,4,4.4498,14,negative
62,3,5.5894,15,negative
62,3,3.7774,16,none
62,3,2.9334,17,none
62,4,4.9176,18,negative
62,2,7.6536,19,positive
62,2,2.6689,20,none
62,3,5.4009,21,negative
62,2,3.4541,22,positive
62,4,4.6178,23,none
62,3,3.0649,24,none
62,2,3.0004,25,positive
62,2,4.2828,26,positive
62,3,4.0247,27,negative
62,2,4.7157,28,negative
62,2,5.3634,29,negative
62,3,2.8969,30,none
62,4,4.2581,31,none
62,3,3.7257,32,negative
62,3,3.0383,33,none
62,2,4.0047,34,negative
62,3,5.8012,35,positive
62,2,3.5382,36,positive
62,3,4.718,37,positive
62,2,2.4018,38,positive
62,2,4.1333,39,negative
62,3,4.3122,40,none
62,2,3.3541,41,positive
62,3,3.4501,42,positive
62,2,3.3256,43,positive
62,2,2.7281,44,positive
62,2,4.0512,45,none
62,3,2.9543,46,negative
62,4,4.4328,47,none
62,3,4.5061,48,negative
62,3,5.3485,49,negative
62,4,3.8356,50,negative
62,3,4.4674,51,none
62,2,5.4007,52,positive
62,3,2.1614,53,none
62,3,3.6512,54,positive
62,2,2.3347,55,positive
62,3,2.8171,56,none
62,2,3.5011,57,positive
62,3,2.1427,58,positive
62,3,2.5653,59,positive
62,2,4.1815,60,positive
