participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
115,2,17.817,1,positive
115,3,4.157,2,none
115,3,3.243,3,none
115,4,5.142,4,negative
115,2,2.288,5,none
115,3,2.283,6,positive
115,2,2.492,7,none
115,3,2.943,8,negative
115,3,4.077,9,none
115,4,3.764,10,negative
115,3,2.927,11,negative
115,3,4.245,12,negative
115,2,3.366,13,none
115,3,3.895,14,negative
115,3,3.075,15,negative
115,4,1.86,16,none
115,3,5.015,17,none
115,4,1.699,18,negative
115,2,4.61,19,positive
115,2,2.526,20,none
115,3,3.826,21,negative
115,2,3.667,22,positive
115,2,7.023,23,none
115,3,2.858,24,none
115,2,2.108,25,positive
115,2,3.347,26,positive
115,4,3.558,27,negative
115,4,2.459,28,negative
115,3,4.758,29,negative
115,4,2.011,30,none
115,4,1.71,31,none
115,3,5.618,32,negative
115,3,2.919,33,none
115,3,3.743,34,negative
115,2,2.866,35,positive
115,2,4.988,36,positive
115,3,9.641,37,positive
115,1,1.6,38,positive
115,2,4.342,39,negative
115,3,5.378,40,none
115,2,1.787,41,positive
115,1,3.296,42,positive
115,1,3.314,43,positive
115,2,3.808,44,positive
115,3,3.348,45,none
115,4,2.143,46,negative
115,4,1.809,47,none
115,4,3.682,48,negative
115,3,4.199,49,negative
115,3,2.211,50,negative
115,2,2.244,51,none
115,2,2.55,52,positive
115,1,2.605,53,none
115,3,3.709,54,positive
115,2,1.598,55,positive
115,2,2.279,56,none
115,1,2.249,57,positive
115,2,3.596,58,positive
115,2,3.835,59,positive
115,2,4.235,60,positive
