participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
3,2,4.4564,1,positive
3,4,1.6613,2,none
3,4,2.1229,3,none
3,3,6.3982,4,negative
3,4,1.4626,5,none
3,2,11.096,6,positive
3,1,6.2813,7,none
3,2,13.0639,8,negative
3,4,2.771,9,none
3,2,5.0994,10,negative
3,4,3.8039,11,negative
3,2,3.6617,12,negative
3,3,3.1126,13,none
3,2,5.0111,14,negative
3,3,5.4465,15,negative
3,4,2.4829,16,none
3,3,3.2037,17,none
3,4,4.4465,18,negative
3,1,4.2612,19,positive
3,1,2.0201,20,none
3,4,4.8378,21,negative
3,2,3.2708,22,positive
3,3,4.262,23,none
3,3,2.6325,24,none
3,2,2.3351,25,positive
3,2,8.9595,26,positive
3,3,4.2284,27,negative
3,3,5.4497,28,negative
3,4,3.8317,29,negative
3,2,2.377,30,none
3,3,2.7509,31,none
3,4,2.4209,32,negative
3,2,2.512,33,none
3,1,3.8885,34,negative
3,3,2.6213,35,positive
3,2,4.1466,36,positive
3,2,6.6967,37,positive
3,1,2.7619,38,positive
3,3,6.1216,39,negative
3,2,3.32,40,none
3,2,3.7634,41,positive
3,1,2.5151,42,positive
3,1,4.2183,43,positive
3,2,3.552,44,positive
3,2,4.3797,45,none
3,2,3.468,46,negative
3,2,4.851,47,none
3,4,2.942,48,negative
3,3,4.5046,49,negative
3,4,4.1354,50,negative
3,2,1.8673,51,none
3,2,4.1222,52,positive
3,2,1.8956,53,none
3,2,3.3956,54,positive
3,3,2.6283,55,positive
3,2,2.7668,56,none
3,3,3.2912,57,positive
3,3,2.3941,58,positive
3,1,2.5441,59,positive
3,2,2.6645,60,positive
