participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
21,1,8.4753,1,positive
21,2,1.9862,2,none
21,3,3.4001,3,none
21,2,6.9867,4,negative
21,3,2.5079,5,none
21,3,2.1948,6,positive
21,2,3.1709,7,none
21,1,1.88,8,negative
21,4,2.6791,9,none
21,3,2.9281,10,negative
21,4,3.2096,11,negative
21,2,2.3664,12,negative
21,1,2.7746,13,none
21,3,3.0739,14,negative
21,4,8.3591,15,negative
21,3,3.7099,16,none
21,2,2.8451,17,none
21,4,3.5212,18,negative
21,2,5.042,19,positive
21,3,4.8186,20,none
21,3,3.544,21,negative
21,2,2.1391,22,positive
21,1,4.4025,23,none
21,3,2.3718,24,none
21,2,3.5337,25,positive
21,2,3.4101,26,positive
21,3,3.2794,27,negative
21,4,3.7764,28,negative
21,2,4.46,29,negative
21,3,2.4769,30,none
21,4,1.9207,31,none
21,4,3.0888,32,negative
21,4,1.3602,33,none
21,3,3.836,34,negative
21,3,3.0694,35,positive
21,2,2.4254,36,positive
21,1,3.7883,37,positive
21,1,1.4805,38,positive
21,3,5.8493,39,negative
21,3,3.5552,40,none
21,2,2.4989,41,positive
21,3,2.9588,42,positive
21,1,3.4384,43,positive
21,1,2.77,44,positive
21,2,3.8791,45,none
21,2,2.322,46,negative
21,1,2.5614,47,none
21,2,3.1092,48,negative
21,3,4.9766,49,negative
21,3,3.1835,50,negative
21,4,3.9343,51,none
21,2,4.0972,52,positive
21,1,2.4286,53,none
21,3,3.7914,54,positive
21,3,2.0121,55,positive
21,2,3.1165,56,none
21,2,6.4372,57,positive
21,2,2.588,58,positive
21,2,2.4005,59,positive
21,3,2.8943,60,positive
