participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
86,1,15.861,1,positive
86,1,3.4678,2,none
86,4,2.9156,3,none
86,1,5.3305,4,negative
86,1,1.7799,5,none
86,4,3.4433,6,positive
86,3,4.7838,7,none
86,3,5.7033,8,negative
86,2,5.7004,9,none
86,2,10.2139,10,negative
86,4,5.2352,11,negative
86,3,6.0037,12,negative
86,2,9.1147,13,none
86,4,7.7652,14,negative
86,1,4.4329,15,negative
86,2,6.8179,16,none
86,4,4.5661,17,none
86,1,5.3174,18,negative
86,4,7.685,19,positive
86,4,5.0526,20,none
86,1,4.7179,21,negative
86,4,3.1319,22,positive
86,3,4.2831,23,none
86,2,5.2142,24,none
86,4,14.2202,25,positive
86,2,8.1456,26,positive
86,4,5.5301,27,negative
86,3,8.9493,28,negative
86,1,6.3994,29,negative
86,4,3.8198,30,none
86,4,6.2015,31,none
86,1,3.8201,32,negative
86,4,4.4386,33,none
86,2,5.4864,34,negative
86,2,4.4189,35,positive
86,4,6.4668,36,positive
86,4,5.5686,37,positive
86,1,5.2872,38,positive
86,3,5.5184,39,negative
86,2,5.9341,40,none
86,3,5.6869,41,positive
86,4,6.2019,42,positive
86,3,5.5677,43,positive
86,2,35.4529,44,positive
86,2,5.6536,45,none
86,3,5.4879,46,negative
86,4,3.7002,47,none
86,1,3.5733,48,negative
86,3,6.1317,49,negative
86,4,4.4508,50,negative
86,1,3.9678,51,none
86,4,7.3156,52,positive
86,2,8.0809,53,none
86,3,5.2184,54,positive
86,2,5.7675,55,positive
86,4,3.3683,56,none
86,3,7.4562,57,positive
86,4,7.0849,58,positive
86,4,4.6065,59,positive
86,3,6.3672,60,positive
