participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
92,1,9.3431,1,positive
92,3,5.004,2,none
92,3,6.3524,3,none
92,3,13.2705,4,negative
92,1,1.5542,5,none
92,1,1.6029,6,positive
92,2,3.9945,7,none
92,4,3.1952,8,negative
92,4,3.9013,9,none
92,2,3.7078,10,negative
92,3,4.0709,11,negative
92,4,3.8499,12,negative
92,2,3.5745,13,none
92,4,3.5595,14,negative
92,3,4.976,15,negative
92,4,4.238,16,none
92,3,3.0539,17,none
92,4,2.6942,18,negative
92,2,5.7098,19,positive
92,2,3.1038,20,none
92,4,3.0279,21,negative
92,1,1.5512,22,positive
92,2,2.9444,23,none
92,3,3.7236,24,none
92,4,2.9013,25,positive
92,1,6.5658,26,positive
92,2,5.5127,27,negative
92,4,5.7588,28,negative
92,4,8.9674,29,negative
92,4,2.2718,30,none
92,3,4.2557,31,none
92,4,2.8711,32,negative
92,4,3.2452,33,none
92,4,5.5269,34,negative
92,4,2.3889,35,positive
92,1,2.84,36,positive
92,3,4.187,37,positive
92,1,2.0588,38,positive
92,2,3.1011,39,negative
92,2,2.5292,40,none
92,2,4.6488,41,positive
92,1,2.2767,42,positive
92,1,2.9631,43,positive
92,2,3.5249,44,positive
92,1,4.1596,45,none
92,4,2.9314,46,negative
92,4,2.6344,47,none
92,4,5.1865,48,negative
92,4,5.1385,49,negative
92,3,3.209,50,negative
92,1,2.117,51,none
92,1,2.1186,52,positive
92,2,2.3368,53,none
92,2,3.2854,54,positive
92,2,1.7042,55,positive
92,1,2.739,56,none
92,1,4.8293,57,positive
92,2,1.768,58,positive
92,1,2.4132,59,positive
92,1,2.2095,60,positive
