participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
30,2,2.0639,1,positive
30,1,2.6961,2,none
30,3,3.5302,3,none
30,3,10.0811,4,negative
30,2,2.4172,5,none
30,3,2.1802,6,positive
30,2,1.8827,7,none
30,1,1.8485,8,negative
30,4,1.6476,9,none
30,3,3.7174,10,negative
30,4,2.2506,11,negative
30,2,3.8966,12,negative
30,1,2.7998,13,none
30,2,3.7339,14,negative
30,2,3.9127,15,negative
30,4,1.416,16,none
30,4,1.6824,17,none
30,4,3.1966,18,negative
30,3,4.2332,19,positive
30,1,1.8987,20,none
30,3,5.3314,21,negative
30,3,2.1493,22,positive
30,2,2.3681,23,none
30,3,2.9176,24,none
30,4,2.1838,25,positive
30,3,3.4137,26,positive
30,4,3.4506,27,negative
30,4,2.2993,28,negative
30,3,3.2003,29,negative
30,3,2.4826,30,none
30,4,1.5012,31,none
30,4,2.0639,32,negative
30,4,2.0327,33,none
30,4,3.2329,34,negative
30,3,2.883,35,positive
30,4,3.4462,36,positive
30,3,4.1497,37,positive
30,1,1.9513,38,positive
30,3,3.15,39,negative
30,3,2.5463,40,none
30,4,3.4506,41,positive
30,2,1.6635,42,positive
30,3,3.099,43,positive
30,4,2.0792,44,positive
30,2,2.9366,45,none
30,3,3.4319,46,negative
30,4,1.9137,47,none
30,3,9.1675,48,negative
30,4,3.531,49,negative
30,3,2.8682,50,negative
30,3,3.0129,51,none
30,4,1.5957,52,positive
30,1,1.8965,53,none
30,4,4.2388,54,positive
30,4,1.9002,55,positive
30,2,2.9177,56,none
30,4,2.9497,57,positive
30,4,1.4482,58,positive
30,2,2.0299,59,positive
30,4,4.0617,60,positive
