participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
91,3,17.704,1,positive
91,3,11.991,2,none
91,3,7.914,3,none
91,2,16.622,4,negative
91,3,11.031,5,none
91,4,7.375,6,positive
91,2,16.509,7,none
91,2,5.395,8,negative
91,3,15.601,9,none
91,3,11.942,10,negative
91,2,24.86,11,negative
91,1,25.389,12,negative
91,3,27.332,13,none
91,3,10.482,14,negative
91,2,15.974,15,negative
91,3,24.219,16,none
91,3,17.29,17,none
91,4,58.91,18,negative
91,3,19.307,19,positive
91,3,14.295,20,none
91,2,7.416,21,negative
91,2,9.318,22,positive
91,3,5.87,23,none
91,3,3.199,24,none
91,3,7.122,25,positive
91,3,87.128,26,positive
91,2,14.231,27,negative
91,3,12.225,28,negative
91,3,58.441,29,negative
91,3,12.076,30,none
91,3,5.75,31,none
91,2,6.67,32,negative
91,3,6.599,33,none
91,3,12.748,34,negative
91,3,8.763,35,positive
91,3,19.42,36,positive
91,3,6.98,37,positive
91,2,13.83,38,positive
91,2,9.583,39,negative
91,3,7.725,40,none
91,2,10.554,41,positive
91,3,11.136,42,positive
91,3,6.646,43,positive
91,3,10.863,44,positive
91,3,7.512,45,none
91,3,34.98,46,negative
91,2,7.008,47,none
91,2,21.196,48,negative
91,3,15.005,49,negative
91,3,12.308,50,negative
91,3,4.173,51,none
91,3,5.442,52,positive
91,1,9.966,53,none
91,3,15.013,54,positive
91,3,5.628,55,positive
91,3,7.887,56,none
91,2,15.595,57,positive
91,3,3.433,58,positive
91,3,5.144,59,positive
91,2,14.216,60,positive
