participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
118,4,3.8852,1,positive
118,4,14.7308,2,none
118,3,14.2772,3,none
118,2,12.6556,4,negative
118,2,2.6586,5,none
118,2,2.4804,6,positive
118,2,2.6406,7,none
118,3,2.3388,8,negative
118,2,3.2896,9,none
118,3,5.3786,10,negative
118,4,3.0156,11,negative
118,4,2.9125,12,negative
118,3,3.5554,13,none
118,3,7.2365,14,negative
118,3,4.8739,15,negative
118,4,3.2014,16,none
118,3,2.6225,17,none
118,4,6.602,18,negative
118,2,9.2518,19,positive
118,2,2.3054,20,none
118,4,4.8631,21,negative
118,4,1.8693,22,positive
118,1,6.4885,23,none
118,3,2.7252,24,none
118,3,2.127,25,positive
118,2,4.0688,26,positive
118,3,5.807,27,negative
118,4,4.188,28,negative
118,3,7.6688,29,negative
118,4,6.1052,30,none
118,4,1.8955,31,none
118,2,7.3425,32,negative
118,2,1.9997,33,none
118,4,2.7941,34,negative
118,1,2.7717,35,positive
118,2,3.192,36,positive
118,2,2.7177,37,positive
118,2,2.5086,38,positive
118,2,4.5065,39,negative
118,3,4.0017,40,none
118,2,4.3712,41,positive
118,2,2.9725,42,positive
118,2,6.9781,43,positive
118,3,2.1572,44,positive
118,3,2.5207,45,none
118,4,2.9168,46,negative
118,4,3.0167,47,none
118,3,2.7475,48,negative
118,3,8.8434,49,negative
118,3,3.5351,50,negative
118,2,2.8859,51,none
118,2,2.6773,52,positive
118,3,1.9472,53,none
118,3,3.6779,54,positive
118,3,2.1879,55,positive
118,3,3.1989,56,none
118,3,2.3978,57,positive
118,2,1.6015,58,positive
118,3,2.7501,59,positive
118,2,2.1584,60,positive
