participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
113,2,7.6481,1,positive
113,2,6.1253,2,none
113,4,5.9087,3,none
113,2,14.019,4,negative
113,1,3.3622,5,none
113,2,4.4766,6,positive
113,2,8.4543,7,none
113,3,4.1912,8,negative
113,3,7.1874,9,none
113,3,7.8644,10,negative
113,4,11.1329,11,negative
113,3,10.3134,12,negative
113,2,7.7145,13,none
113,3,9.5475,14,negative
113,3,8.6445,15,negative
113,3,3.2476,16,none
113,2,5.4812,17,none
113,4,4.8097,18,negative
113,2,14.1525,19,positive
113,2,5.6619,20,none
113,3,7.2531,21,negative
113,2,3.9208,22,positive
113,1,7.1693,23,none
113,2,2.8843,24,none
113,3,5.2372,25,positive
113,2,5.2505,26,positive
113,2,5.8621,27,negative
113,2,9.5213,28,negative
113,2,8.5373,29,negative
113,2,5.2865,30,none
113,3,3.2822,31,none
113,2,9.9003,32,negative
113,4,2.4757,33,none
113,1,12.2384,34,negative
113,2,6.7157,35,positive
113,2,38.1671,36,positive
113,3,10.5911,37,positive
113,2,4.1902,38,positive
113,2,7.0201,39,negative
113,3,5.9793,40,none
113,2,6.4886,41,positive
113,2,5.0954,42,positive
113,2,4.6847,43,positive
113,3,7.695,44,positive
113,2,4.4933,45,none
113,3,4.6678,46,negative
113,4,7.0025,47,none
113,2,7.462,48,negative
113,3,7.4731,49,negative
113,2,5.5239,50,negative
113,4,9.5775,51,none
113,3,8.4711,52,positive
113,2,3.566,53,none
113,2,6.4816,54,positive
113,3,3.0448,55,positive
113,2,13.9571,56,none
113,2,7.1979,57,positive
113,3,2.7739,58,positive
113,2,5.4163,59,positive
113,2,4.7142,60,positive
