participant,EQ_resp,EQ_RT,EQ_item,EQ_scoring_type
2,3,2.8305,1,positive
2,3,4.0241,2,none
2,1,5.2978,3,none
2,3,2.7053,4,negative
2,2,2.8321,5,none
2,2,1.3317,6,positive
2,2,1.8885,7,none
2,4,1.899,8,negative
2,1,1.7743,9,none
2,2,12.1648,10,negative
2,4,3.3146,11,negative
2,2,3.2913,12,negative
2,2,2.4251,13,none
2,1,2.4989,14,negative
2,2,3.8652,15,negative
2,2,2.6912,16,none
2,3,1.6449,17,none
2,4,2.3666,18,negative
2,3,3.2006,19,positive
2,1,2.1814,20,none
2,2,2.3401,21,negative
2,4,2.5662,22,positive
2,4,2.9739,23,none
2,4,1.5564,24,none
2,3,3.0731,25,positive
2,2,1.969,26,positive
2,3,3.4048,27,negative
2,2,3.5834,28,negative
2,2,3.368,29,negative
2,4,2.2016,30,none
2,4,1.3143,31,none
2,3,1.9598,32,negative
2,1,1.4462,33,none
2,2,2.4738,34,negative
2,3,2.5314,35,positive
2,2,4.1799,36,positive
2,2,2.7865,37,positive
2,1,1.3809,38,positive
2,3,24.6683,39,negative
2,1,1.9051,40,none
2,2,2.4123,41,positive
2,3,4.1907,42,positive
2,3,3.1106,43,positive
2,2,2.5654,44,positive
2,1,2.0447,45,none
2,2,2.9993,46,negative
2,1,1.8557,47,none
2,2,3.1611,48,negative
2,4,2.8376,49,negative
2,3,2.1977,50,negative
2,1,2.1684,51,none
2,3,2.2164,52,positive
2,1,1.6397,53,none
2,3,3.603,54,positive
2,3,1.9955,55,positive
2,1,1.7596,56,none
2,3,2.5991,57,positive
2,3,3.5142,58,positive
2,3,1.7589,59,positive
2,3,2.7343,60,positive
