participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
26,2.0798,4.0243,1.2317,0.9002,1.2936,1.6178,space,0.7014,2,24,1
26,1.603,2.0333,1.1153,1.0563,1.6328,1.2907,y,0.4022,2,9,1
26,1.1074,2.0716,1.7214,1.5018,1.2019,1.0784,n,0.6008,2,12,1
26,1.9126,2.1312,0.9815,0.9569,1.5838,1.4867,space,0.1097,3,22,1
26,1.1979,3.3656,0.9152,1.0336,3.4814,1.9516,n,1.5726,1,11,1
26,1.953,3.0992,1.3152,0.8434,0.9007,1.1207,space,0.6528,1,20,1
26,2.1633,2.2337,0.9156,0.6817,1.1868,1.3612,n,0.5596,3,7,1
26,2.9932,2.0705,0.8321,0.8164,1.2934,0.9043,space,0.4715,2,21,1
26,1.1972,2.6978,1.9832,1.0671,2.0662,1.2501,y,0.3136,3,1,1
26,1.6696,0.3492,0.3305,0.3679,0.3984,0.4336,space,0.2023,3,19,1
26,1.9974,2.8636,1.0836,0.9999,0.8726,0.7844,space,0.088,1,14,1
26,2.4696,2.1156,0.3824,0.3837,0.4159,0.6008,y,0.1197,1,2,1
26,1.2669,3.6165,0.6979,0.5903,1.288,0.9837,space,0.1028,3,13,1
26,1.0981,1.7,0.7255,0.6334,1.1666,0.731,space,0.1719,2,15,1
26,2.3167,3.2706,0.7305,0.8821,1.1853,1.272,space,0.172,1,17,1
26,1.206,1.7526,1.1139,0.5427,0.5163,0.565,space,0.002,3,16,1
26,1.6197,1.1814,0.3005,0.2685,0.3571,0.5336,y,0.2876,1,5,1
26,1.97,1.5725,0.6812,0.7693,0.6163,0.417,y,0.0873,3,4,1
26,1.3308,1.7008,0.8336,0.8829,1.0068,0.9818,n,0.2062,1,8,1
26,1.0558,1.9317,0.7908,0.834,1.0498,0.9171,space,0.4196,2,18,1
26,1.1325,1.7658,0.4882,0.4158,0.3168,0.4214,y,0.5221,2,6,1
26,1.0577,3.1897,1.0646,0.8411,1.1178,1.2003,space,0.0871,1,23,1
26,0.8247,1.8824,0.632,0.5498,1.3391,0.9835,y,0.371,2,3,1
26,0.9534,2.1822,0.2352,0.1866,0.1845,0.4596,n,0.1529,3,10,1
