participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
17,7.1653,4.1557,2.6302,2.6998,2.2159,3.0258,space,0.9189,3,20,1
17,3.579,5.2753,3.0097,3.792,2.1805,1.8752,space,1.8018,1,18,1
17,4.5328,4.4342,3.3091,2.053,2.1757,2.1672,space,1.559,2,19,1
17,3.2632,5.4837,2.2088,2.1462,1.9255,1.6839,space,1.9874,1,15,1
17,2.6921,2.9837,1.2336,2.4455,2.3083,1.8503,n,10.6762,3,11,1
17,5.3675,4.6843,3.8759,1.4338,1.8756,1.559,space,2.7342,1,21,1
17,1.6336,12.6197,3.2007,1.7673,5.2179,1.9005,y,2.45,2,1,1
17,4.2971,4.3668,2.7752,2.1923,3.2008,1.1766,y,2.9169,3,5,1
17,3.0922,3.1089,2.792,3.4358,2.0921,2.0922,n,0.7837,2,10,1
17,10.8015,3.1453,1.9245,1.7085,2.2587,1.9421,n,0.2671,3,8,1
17,4.0088,8.5262,1.5837,2.4834,3.3923,3.2675,space,3.3036,3,14,1
17,3.0845,4.584,1.6171,3.134,2.5923,2.6757,y,3.3063,1,12,1
17,5.5262,3.6009,1.0003,1.684,2.6434,1.7588,y,3.2936,1,9,1
17,17.268,4.4921,0.8917,1.018,2.3124,2.0089,space,5.0838,3,17,1
17,3.9919,4.0085,3.2171,1.5337,4.3029,2.1585,y,1.8082,3,2,1
17,3.0421,2.9343,3.627,1.8939,2.5176,2.0172,y,1.0171,2,4,1
17,2.309,3.6862,2.559,2.8342,2.3878,1.4334,space,3.4424,2,16,1
17,3.8922,3.792,1.9671,1.067,1.7587,3.5084,space,0.4579,2,22,1
17,8.2426,21.3113,2.4755,1.267,2.3262,2.6618,space,2.4003,1,24,1
17,44.4242,4.917,1.692,1.742,1.6754,3.1089,y,1.1912,1,6,1
17,2.0797,1.1499,1.2835,1.6887,2.1002,1.0836,y,1.2418,1,3,1
17,2.7506,3.7924,1.1337,2.5089,2.2755,1.8588,space,0.0169,2,13,1
17,5.9417,3.8055,1.5675,1.6318,1.5325,1.8975,n,0.6938,2,7,1
17,3.4544,3.1669,1.9254,3.1446,2.2672,3.2839,space,1.3918,3,23,1
