participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
7,2.61,2.95,1.506,2.096,1.499,2.025,n,1.919,3,12,1
7,5.912,4.481,2.701,2.176,1.967,2.006,space,2.261,3,21,1
7,3.373,3.902,1.688,2.795,2.818,1.561,y,0.668,2,2,1
7,2.669,3.388,1.105,2.187,1.449,1.228,space,0.842,3,15,1
7,3.338,3.999,1.487,1.388,0.097,2.36,y,5.802,3,3,1
7,3.229,3.721,1.25,1.623,1.145,1.625,space,1.043,2,17,1
7,2.93,2.727,1.502,2.077,1.451,1.103,space,0.807,3,18,1
7,1.514,3.972,1.429,1.564,1.479,1.786,n,0.812,1,10,1
7,1.606,3.235,1.056,1.437,2.12,1.25,y,0.338,1,1,1
7,4.158,2.67,1.1,1.676,1.572,1.508,space,0.587,1,22,1
7,1.742,2.374,1.257,2.801,1.429,1.272,n,0.829,2,11,1
7,1.582,2.35,0.743,1.119,2.125,1.334,space,0.341,1,13,1
7,3.501,2.707,1.223,1.291,1.378,1.312,space,0.509,1,16,1
7,3.186,3.772,1.116,1.25,1.287,1.756,space,0.612,1,19,1
7,2.27,1.408,1.001,1.457,1.256,1.232,y,0.132,3,9,1
7,2.126,1.778,0.882,1.027,1.383,1.145,y,0.464,1,4,1
7,3.042,2.769,1.384,1.613,1.744,1.874,space,0.66,3,24,1
7,3.146,4.278,1.757,2.306,1.757,0.944,n,3.466,2,5,1
7,4.728,2.863,1.029,1.488,0.787,0.764,n,0.315,2,8,1
7,0.843,1.435,0.687,0.905,0.931,0.883,y,0.156,3,6,1
7,2.597,6.974,1.099,1.147,1.315,2.148,space,0.718,2,20,1
7,1.999,1.244,0.773,1.341,1.185,0.826,space,0.278,2,14,1
7,3.82,3.586,0.708,0.745,1.042,1.106,space,0.335,2,23,1
7,2.527,2.888,1.192,0.965,1.25,1.7,n,0.585,1,7,1
