participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
102,1.2249,2.9935,1.0792,1.4633,0.9876,1.1018,space,1.5624,2,16,1
102,0.9436,2.6254,1.5031,1.9613,2.3647,0.9496,n,0.6502,3,11,1
102,1.1326,2.6417,1.0866,1.9646,1.4491,1.03,space,0.7519,2,13,1
102,3.206,2.6706,1.0988,1.2864,1.4158,1.5636,space,0.2572,3,20,1
102,1.3238,1.621,0.7664,1.9454,1.1701,1.43,y,1.0615,2,4,1
102,2.0906,2.9531,1.0145,0.7628,1.6343,1.0023,y,0.3515,2,1,1
102,1.5262,3.296,1.0968,1.178,0.9844,1.0497,n,1.5403,1,12,1
102,2.3581,2.3519,6.0263,1.0293,1.0474,1.3569,space,0.4712,3,14,1
102,1.2924,4.3795,0.9283,1.0119,1.0504,1.5179,space,0.3632,2,19,1
102,1.8282,2.7783,2.935,1.3099,1.6046,2.0304,n,0.8125,2,7,1
102,2.661,2.3273,1.6391,1.1374,2.7502,1.3564,y,0.5336,3,2,1
102,1.8815,2.9988,0.677,0.9283,1.2333,1.1043,space,0.1679,3,17,1
102,2.3438,10.3142,1.4616,1.2376,1.4886,1.0474,y,0.3183,1,9,1
102,1.4827,3.8647,1.3209,1.3124,1.0635,1.0533,space,0.0418,3,23,1
102,1.9176,2.881,1.4955,1.294,2.1287,1.1504,n,0.1019,3,8,1
102,1.742,4.0886,2.5906,2.1152,5.0513,1.7782,space,0.3971,2,22,1
102,4.9828,21.2849,8.7574,21.264,4.8669,0.9883,space,0.3867,1,21,1
102,1.7674,2.6835,0.771,0.8056,1.4863,1.8841,space,0.894,1,24,1
102,1.5495,1.4345,0.7177,1.2515,1.1876,1.039,n,0.5592,2,10,1
102,0.5839,3.35,0.8299,1.4663,1.6518,1.3612,space,0.3443,1,18,1
102,1.4238,1.9554,0.7512,0.851,1.5507,1.2239,space,0.7354,1,15,1
102,1.302,2.3417,1.1209,0.9301,1.4514,1.2614,y,0.547,1,3,1
102,5.6889,2.4044,1.9333,1.7912,3.6335,1.1401,y,0.3975,3,5,1
102,1.5672,2.6205,0.9285,0.8854,2.6514,3.6703,y,0.3542,1,6,1
