participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
71,3.5467,10.4269,5.3679,6.0844,3.1336,4.2925,n,2.1009,3,11,1
71,4.3174,13.2461,2.9577,2.7337,3.9342,3.3841,space,1.7731,2,16,1
71,4.0021,7.2274,2.0172,2.9875,2.4946,2.6909,space,0.8172,3,14,1
71,2.5842,7.2837,1.7343,3.7264,3.0051,2.3719,y,3.7069,2,1,1
71,8.5464,3.6539,2.5849,2.1698,3.6717,2.1204,y,1.5953,2,4,1
71,3.9092,7.327,2.4371,2.8506,2.0841,2.5664,space,0.1844,3,17,1
71,6.1256,3.7772,1.7776,3.3945,3.9258,2.6502,space,0.5394,2,13,1
71,5.0339,5.7346,2.9388,3.7004,3.5838,1.9528,space,0.8224,1,18,1
71,3.2512,5.0762,2.8008,2.733,3.7405,2.8175,n,2.1794,2,10,1
71,4.838,3.0836,4.2782,2.5069,3.2007,2.7942,y,2.7426,1,3,1
71,6.2005,8.5562,2.1875,2.9172,1.9439,3.9008,n,1.212,2,7,1
71,8.1101,9.2845,2.2033,1.754,2.5262,3.1526,space,0.7406,1,24,1
71,5.0738,2.7861,3.5503,4.2675,2.4347,2.6714,space,2.8512,1,15,1
71,5.2606,8.4578,3.2413,1.5508,2.1035,3.3102,space,0.634,3,23,1
71,8.0536,5.1174,1.9669,3.1008,2.2368,3.0336,space,1.8728,2,19,1
71,5.1665,5.9627,3.6053,1.9668,5.3224,2.784,space,0.6807,1,21,1
71,4.2541,5.4764,2.2339,3.3011,3.4171,3.2257,space,2.498,2,22,1
71,7.203,2.4614,3.7709,2.7069,3.5332,2.4507,y,1.6947,1,9,1
71,1.9612,6.3504,2.1174,1.7129,3.4886,1.9529,n,10.3081,1,12,1
71,11.9176,11.7365,3.619,1.8674,3.9004,3.1845,space,1.7875,3,20,1
71,7.3171,3.9171,1.9396,2.3299,4.655,2.4173,y,1.4765,3,2,1
71,5.6676,3.3899,2.2786,2.0499,2.5945,6.4011,y,1.3863,1,6,1
71,4.3041,6.7302,1.818,1.6259,1.8533,3.5447,n,1.0471,3,8,1
71,5.3338,9.2511,1.4285,1.9843,2.7385,1.9333,y,6.4161,3,5,1
