participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
95,1.8986,2.1991,1.0573,1.4125,2.0783,1.2542,y,1.0267,3,9,1
95,2.1997,2.6728,1.3072,1.1588,1.0908,4.4488,space,0.3443,3,24,1
95,1.3343,3.8306,0.8293,1.0141,0.9729,1.1236,space,1.2523,3,12,1
95,1.6347,4.6097,1.2393,1.1726,1.1793,1.3912,space,1.4777,2,17,1
95,1.8224,2.1218,0.7587,0.7822,1.4707,0.9845,space,0.2897,3,15,1
95,1.1537,2.6373,0.9139,0.8908,1.0805,1.3452,space,0.2547,3,18,1
95,5.287,3.5382,0.7637,0.8063,1.0243,1.0048,space,0.2532,3,21,1
95,2.4105,1.4398,0.9133,0.6957,0.9375,1.5218,space,0.2749,2,20,1
95,0.7401,2.5071,0.8449,0.9243,1.5143,1.3289,n,0.6396,1,10,1
95,2.149,1.2145,1.0186,0.9652,0.9326,1.0475,n,0.5571,1,7,1
95,26.3924,2.3223,0.6794,1.0985,1.4391,1.2952,space,0.771,2,14,1
95,1.1238,3.6285,0.632,0.6181,0.9655,1.0463,space,0.1338,1,13,1
95,7.5756,1.3205,5.1259,0.9855,1.0329,2.2147,space,0.6756,3,6,1
95,2.2281,2.4306,0.9678,0.8455,2.191,0.7327,space,0.2568,2,5,1
95,1.9658,2.746,1.7002,1.2845,3.5132,3.3049,y,1.0957,2,2,1
95,1.1865,2.266,1.4817,1.0661,1.2129,1.2291,n,1.8026,2,11,1
95,1.1452,1.8188,0.8862,0.8243,0.7708,0.8803,n,0.7199,2,8,1
95,2.2516,1.3974,2.0613,0.8837,1.4955,0.8749,space,0.6722,2,23,1
95,1.8331,11.3544,1.1512,0.8925,0.806,1.3472,space,0.3289,1,19,1
95,0.7239,1.8566,0.8612,0.6661,0.9491,0.8205,space,0.3841,1,16,1
95,1.2618,1.1149,0.933,0.8209,0.8998,0.9503,space,0.4844,1,22,1
95,0.7989,2.5639,0.9555,0.7144,1.1017,0.9793,y,0.4289,1,1,1
95,5.4661,1.1558,0.914,0.7368,0.7403,1.1802,y,1.0912,3,3,1
95,2.3941,1.2294,0.8129,1.008,1.0292,0.8793,y,0.5793,1,4,1
