participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
15,1.83,2.304,1.238,1.426,2.636,1.167,y,1.203,1,3,1
15,2.081,4.565,1.149,1.169,1.939,1.484,y,1.186,3,2,1
15,3.419,2.929,1.503,1.026,1.567,1.552,space,0.043,1,24,1
15,1.551,1.876,0.967,1.415,1.176,1.638,space,0.778,3,14,1
15,1.365,2.102,0.835,0.852,1.462,1.072,space,0.458,2,13,1
15,1.893,1.757,0.958,1.283,1.893,1.251,y,1.024,1,9,1
15,1.7,1.285,0.875,1.222,1.056,0.967,y,0.635,2,4,1
15,2.124,1.682,0.984,1.008,0.967,1.411,space,0.787,3,23,1
15,1.233,2.323,0.969,1.173,1.297,1.488,space,1.022,1,18,1
15,1.308,2.242,1.034,1.395,1.295,1.207,n,0.545,2,10,1
15,1.092,3.45,0.874,1.118,1.021,1.293,n,0.603,3,11,1
15,1.216,1.882,1.134,1.366,0.917,1.1,n,0.671,1,12,1
15,2.219,2.009,0.853,0.892,1.11,1.05,space,0.137,1,15,1
15,0.852,1.913,0.919,0.869,1.092,1.05,y,0.585,2,1,1
15,1.607,2.56,0.643,1.136,0.966,0.865,space,0.084,3,17,1
15,2.773,1.933,1,0.833,1.068,0.942,space,0.909,1,21,1
15,1.948,2.189,0.82,0.802,0.819,1.082,n,1.135,2,7,1
15,1.302,2.02,0.832,0.939,0.845,1.5,y,0.451,1,6,1
15,3.688,3.966,1.178,0.983,1.718,0.786,y,0.876,3,5,1
15,1.309,1.682,0.827,1.139,1.1,1.101,space,0.586,2,19,1
15,1.482,1.448,0.85,0.959,0.922,0.964,n,0.468,3,8,1
15,0.769,2.29,0.872,1.084,1.287,1.34,space,0.545,2,16,1
15,1.316,2.038,1.187,0.984,0.902,1.415,space,0.552,3,20,1
15,1.091,2.152,0.788,1.24,1.049,1.01,space,0.61,2,22,1
