participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
94,1.379,2.1,1.251,1.395,1.979,1.063,y,0.604,3,3,1
94,1.828,2.752,1.948,1.678,1.581,1.397,space,0.633,1,16,1
94,1.665,2.851,0.947,1.568,1.119,2.029,space,0.5,3,24,1
94,1.112,2.917,1.095,1.519,1.28,1.269,space,0.286,3,18,1
94,2.664,4.398,1.272,1.146,1.065,1.388,space,0.317,2,20,1
94,4.878,3.586,1.001,1.117,1.512,1.302,y,0.54,1,1,1
94,2.079,2.011,1.014,1.204,1.346,1.479,space,0.084,1,22,1
94,0.911,1.42,1.154,0.914,1.017,0.895,n,2.3,3,12,1
94,1.419,1.288,0.797,0.865,0.863,1.095,space,2.899,1,4,1
94,1.846,3.234,1.014,0.932,1.052,0.964,n,0.326,2,8,1
94,1.328,2.015,0.914,0.669,0.88,1.019,n,0.466,1,7,1
94,0.95,2.479,0.737,1.156,0.264,1.252,space,0.492,2,14,1
94,0.814,1.716,1.246,1.846,1.015,1.035,n,0.484,1,10,1
94,0.997,1.6,1.401,1.134,1.246,1.285,y,0.318,3,6,1
94,0.812,1.86,0.885,1.267,1.101,0.872,n,0.702,2,11,1
94,3.671,2.87,1.013,1.53,1.668,0.897,y,0.35,2,5,1
94,1.67,2.512,7.931,5.965,1.003,1.681,space,0.166,1,19,1
94,1.681,6.728,1.018,0.954,1.597,1.152,space,0.593,2,23,1
94,0.868,1.868,0.902,0.713,1.321,1.014,space,0.338,1,13,1
94,2.468,3.199,1.53,2.045,4.297,1.352,space,0.172,3,21,1
94,0.983,2.843,0.894,1.012,1.131,1.204,space,0.184,3,15,1
94,1.729,1.766,1.214,1.311,1.368,1.248,y,0.42,3,9,1
94,1.549,2.51,1.118,1.752,1.684,1.668,y,0.788,2,2,1
94,1.13,2.305,0.973,1.034,1.195,1.565,space,0.569,2,17,1
