participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
101,2.1017,1.5535,2.4504,1.3138,1.8167,2.7745,y,1.035,1,6,1
101,4.1435,1.933,1.3324,1.3619,1.6011,2.2215,n,0.6188,3,8,1
101,2.4775,2.836,1.2874,1.3147,1.4467,1.1035,y,0.9192,3,5,1
101,6.5104,6.5615,1.0314,1.5961,1.331,1.0343,space,0.99,2,22,1
101,0.9253,18.4153,1.3975,1.5712,3.4998,1.0659,n,1.5022,3,11,1
101,28.2292,2.1456,2.372,24.6326,12.2631,1.3705,n,2.491,3,2,1
101,6.4232,4.148,0.9972,1.2661,1.6214,0.9679,y,0.3812,1,3,1
101,1.3355,4.3069,1.4176,1.0639,2.1194,1.3001,y,0.3757,2,1,1
101,8.4265,2.8162,0.8377,1.0826,1.031,0.9624,n,0.5528,2,10,1
101,2.2952,1.7672,1.6648,11.8391,3.565,2.074,y,0.7012,1,9,1
101,6.5303,4.2168,2.0319,2.2836,1.2662,1.2205,y,0.1875,2,4,1
101,1.7831,13.0128,0.8037,0.9478,1.2653,0.9503,space,0.6387,2,13,1
101,1.4668,2.9647,0.7232,1.1148,1.1189,1.3034,space,1.0526,2,19,1
101,1.8663,6.2434,0.8113,0.917,0.8298,1.1659,space,1.0221,3,23,1
101,0.9075,4.0315,0.9659,1.4197,1.1495,1.1022,space,0.2382,1,18,1
101,0.7035,1.984,1.1858,1.7734,1.2625,1.3633,n,2.929,1,12,1
101,2.572,3.8148,1.4107,0.9609,1.1905,1.8116,space,1.145,3,20,1
101,1.1808,2.8363,2.4535,4.0486,1.481,1.2307,space,2.5395,2,16,1
101,1.9673,7.8809,0.7529,0.8556,0.8372,1.0318,space,0.8708,3,14,1
101,11.4485,2.0818,0.8035,1.1862,1.2462,1.1146,n,2.7043,2,7,1
101,3.9127,2.8694,1.4648,1.2984,1.2003,1.1995,space,0.1687,1,21,1
101,1.9468,5.4136,3.0991,3.9962,3.7152,1.9021,space,0.6211,1,24,1
101,1.6381,2.9135,0.7497,0.7336,1.2008,0.9816,space,0.7025,3,17,1
101,1.0655,1.8208,1.1007,1.0991,1.2054,1.0715,space,0.6028,1,15,1
