participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
32,5.2376,2.4677,2.4499,3.2658,2.7661,2.8816,space,2.7499,1,19,1
32,3.2662,3.1181,2.7001,3.4977,2.9174,2.851,space,1.8502,1,22,1
32,3.2437,2.532,2.5798,4.4665,5.9488,2.4362,space,0.2784,2,14,1
32,3.716,2.733,3.661,2.849,1.2505,1.551,n,4.5227,1,7,1
32,1.8827,2.8992,2.1164,2.1496,2.0832,1.8161,n,3.0453,2,11,1
32,9.9979,2.3661,2.2838,1.3117,2.0192,1.5841,space,1.2926,3,24,1
32,1.119,2.3346,1.4505,1.8995,1.7669,1.735,space,0.6186,1,16,1
32,1.817,2.3997,2.0997,2.0003,1.822,1.8667,y,2.56,3,6,1
32,2.1662,2.0169,1.5009,1.0489,1.3005,1.635,y,1.8007,1,1,1
32,1.2847,1.3677,1.3005,1.4335,1.4012,1.4002,y,5.4996,3,12,1
32,2.9162,3.6488,1.7188,2.1157,1.7828,2.1996,y,1.9486,3,9,1
32,1.7005,3.349,2.0503,2.9659,2.5678,2.0503,space,0.6167,2,23,1
32,2.2505,4.669,2.2606,2.5838,2.0499,2.0164,space,0.2194,2,20,1
32,1.4675,2.5013,1.0364,2.3022,1.5358,1.4853,space,0.0998,2,17,1
32,1.7341,2.7678,2.6657,1.8553,1.6677,1.7831,y,2.0227,3,3,1
32,3.383,2.0168,1.1329,1.3175,1.2671,1.1671,y,2.7681,2,2,1
32,2.1521,1.8615,0.9882,1.2664,1.0993,1.2116,n,1.5952,2,8,1
32,1.4667,1.7718,1.5279,2.2655,1.1833,1.1186,space,0.1838,3,21,1
32,1.0329,1.9219,1.4458,1.488,1.4352,1.2997,space,0.2562,3,18,1
32,0.9815,3.098,2.3111,8.3923,2.4674,1.352,y,4.7835,1,10,1
32,3.9327,2.35,1.0833,2.4324,1.372,1.2176,space,0.0006,1,13,1
32,1.5704,1.4484,1.6316,1.3843,1.2528,1.2995,y,1.2524,2,5,1
32,1.4958,1.3368,1.1628,1.4496,1.4837,1.2716,space,0.2741,3,15,1
32,2.5829,2.1499,0.9436,1.3017,1.1112,1.2667,y,1.3338,1,4,1
