participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
14,1.647,1.927,1.06,1.094,1.284,0.927,y,0.752,3,2,1
14,1.826,1.025,0.86,0.889,0.796,0.806,space,2.479,3,14,1
14,1.706,2.06,0.798,0.661,0.677,0.724,space,7.861,2,16,1
14,0.818,0.998,1.359,0.943,4.457,0.794,y,1.198,2,1,1
14,0.844,0.912,0.757,0.682,0.889,0.77,n,1.014,1,9,1
14,0.96,1.266,0.707,0.724,0.858,0.791,space,1.981,2,22,1
14,0.661,1.005,0.651,0.825,0.729,0.612,y,0.618,3,11,1
14,1.584,1.057,1.146,0.857,0.674,1.154,n,2.198,1,6,1
14,0.892,1.072,0.691,0.642,0.841,0.617,n,1.23,3,8,1
14,1.425,1.737,0.722,0.789,0.708,0.761,space,1.183,2,19,1
14,0.94,0.804,0.612,0.593,0.973,0.811,y,0.843,2,4,1
14,1.343,0.974,0.844,0.775,0.715,0.661,space,0.382,3,17,1
14,0.89,1.527,0.79,0.995,1.029,1.026,n,0.43,2,7,1
14,1.66,1.033,0.577,0.477,0.643,0.674,space,0.496,1,18,1
14,0.679,1.024,0.594,0.526,2.058,0.757,y,0.865,1,3,1
14,1.045,1.024,0.607,0.541,0.843,0.617,n,2.5,1,12,1
14,7.451,1.359,7.865,0.911,1.043,0.757,space,3.295,1,21,1
14,0.869,1.064,0.555,0.529,0.508,0.783,space,0.066,1,24,1
14,0.955,1.093,0.808,0.523,0.524,0.562,space,0.228,3,20,1
14,4.578,1.227,0.663,0.693,0.606,8.84,space,0.019,3,23,1
14,0.595,0.941,0.612,0.725,0.627,0.53,space,0.296,1,15,1
14,0.744,1.071,0.607,0.725,0.676,0.528,y,0.498,3,5,1
14,1.099,0.733,0.618,0.461,0.508,0.502,n,0.658,2,10,1
14,0.895,0.877,0.608,0.55,0.575,0.508,space,0.034,2,13,1
