participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
79,4.3011,9.1172,1.3179,4.3843,1.9357,1.8176,space,2.0022,2,19,1
79,2.2388,7.8706,1.7844,1.7388,3.6604,2.1614,y,2.1067,2,1,1
79,2.9661,5.0173,1.1341,1.6176,2.8509,1.7572,space,1.3891,3,17,1
79,5.0794,12.2333,1.5186,1.4444,2.1722,2.5173,space,0.0299,3,23,1
79,3.2426,5.9515,1.9175,2.2674,2.7371,0.9865,y,3.5209,3,5,1
79,4.784,3.5705,3.0135,1.3883,1.9844,2.0012,space,1.4123,3,20,1
79,1.784,4.3553,3.5204,3.1507,3.7674,1.7622,n,1.4172,3,11,1
79,4.4516,2.9025,1.7342,1.9096,1.5674,3.506,y,2.257,1,3,1
79,4.4606,5.5706,1.0129,2.4125,1.5177,5.3675,y,18.1804,2,7,1
79,8.6502,3.7505,2.1506,2.3676,1.9436,2.3506,n,3.367,3,8,1
79,12.9666,1.7471,1.0244,1.5282,1.7935,1.8678,n,4.0112,2,10,1
79,4.0666,4.1461,1.4463,1.7116,5.2118,3.7136,y,1.974,2,4,1
79,3.6507,3.3459,1.4758,1.7509,2.2178,2.2012,space,0.406,1,15,1
79,4.4242,4.6847,1.4277,1.4893,3.5741,1.9178,space,1.2702,2,22,1
79,3.5508,5.1215,3.558,2.0844,1.9405,2.2011,y,1.9509,1,9,1
79,2.4011,4.9174,1.5843,1.4007,2.2511,3.3674,y,0.9845,1,6,1
79,7.6835,3.5006,2.5172,3.8839,3.78,4.3371,space,0.4764,2,16,1
79,1.7788,2.934,1.2842,1.7842,1.8341,2.7176,space,0.1679,1,18,1
79,3.8509,5.6274,1.3015,2.1674,2.0009,2.0373,n,4.7006,1,12,1
79,3.5176,5.2837,1.1964,1.8506,1.3509,3.5678,space,0.3011,3,14,1
79,4.0062,4.1224,2.351,1.8676,2.7339,2.0009,y,1.9512,3,2,1
79,6.4838,6.6171,1.4007,1.3509,1.6245,2.9516,space,0.0846,1,21,1
79,1.8673,12.0285,1.5842,1.5507,1.551,5.0673,space,1.3098,1,24,1
79,14.8341,8.9498,2.5342,0.9839,2.5347,1.3015,space,1.0842,2,13,1
