participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
10,2.1961,1.6494,2.0667,0.7648,0.8992,0.9272,space,0.2034,2,20,1
10,0.8065,1.5549,0.8854,0.8981,1.0991,0.9992,n,1.2375,3,12,1
10,1.5422,2.5825,0.8045,1.0838,1.0484,1.1999,y,0.2364,3,9,1
10,1.1862,1.5148,1.3733,0.976,1.4721,1.7665,n,0.1957,2,8,1
10,0.9762,1.6865,0.8188,0.704,1.0035,0.7305,space,0.928,3,15,1
10,0.8827,3.6284,0.7138,0.481,0.4892,0.5152,y,2.2897,1,1,1
10,1.3223,2.0729,0.8187,0.6816,0.832,0.9047,y,0.2296,3,3,1
10,0.9986,3.4039,1.9828,4.4182,1.447,2.3728,y,0.1693,3,6,1
10,1.1251,2.5819,0.7662,1.4322,0.9889,1.218,space,0.3873,1,16,1
10,1.0683,1.6995,0.8084,0.7224,1.7021,1.101,space,0.3178,1,13,1
10,3.3981,1.9317,0.7075,0.683,1.284,1.2652,space,0.4688,1,19,1
10,6.0928,6.0391,0.6992,0.7146,1.9906,1.031,space,0.3272,2,17,1
10,3.853,2.8482,1.0494,1.1,2.6158,1.0871,y,0.285,2,2,1
10,40.0712,2.1639,0.7754,0.8008,1.103,0.9222,space,0.58,3,21,1
10,1.4532,3.6079,0.8012,0.8392,1.117,1.0992,space,0.3078,2,23,1
10,0.9654,2.9877,0.9337,1.2835,1.3709,0.9815,y,0.4859,2,11,1
10,1.2638,2.1157,0.7833,0.7496,1.1018,0.933,space,0.0456,1,22,1
10,1.6314,2.3808,0.8148,0.6671,1.0492,1.3423,n,0.7526,1,7,1
10,2.6635,1.7645,0.7568,0.7206,0.9666,0.9744,y,0.0353,1,4,1
10,1.2476,2.4664,0.7729,0.7386,1.0442,1.2967,space,0.803,3,24,1
10,1.5338,2.3774,0.7049,0.7446,1.1587,1.0326,space,0.5895,3,18,1
10,2.706,1.9816,1.0817,0.8899,0.8419,0.8588,y,0.0871,2,5,1
10,1.2095,2.3477,1.1426,0.8325,0.6527,1.5329,space,0.0524,2,14,1
10,1.0482,1.8576,0.7383,2.174,0.7749,0.8001,n,0.3448,1,10,1
