participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
16,4.9784,2.55,2.3215,2.0929,2.3235,2.6623,y,1.9186,1,9,1
16,2.913,4.5566,1.7251,2.613,2.5107,1.5605,space,1.738,3,17,1
16,2.8675,7.6484,2.7603,1.8597,2.5188,2.2138,space,2.0467,1,24,1
16,2.6911,4.1178,1.3725,1.7027,3.175,1.9055,space,0.0317,1,15,1
16,3.8736,3.526,1.7976,2.2045,1.5598,2.3656,y,1.4016,1,6,1
16,3.3979,2.0297,1.3491,1.515,1.5337,1.7639,y,1.1167,2,4,1
16,1.6157,5.623,1.515,1.5048,2.6126,1.307,n,1.4673,3,11,1
16,1.4442,8.9278,1.4616,2.1841,1.7041,1.12,n,0.5061,2,10,1
16,2.4184,4.3432,1.8296,1.9716,2.621,1.6175,y,1.318,3,2,1
16,2.5574,3.8635,1.6405,2.1092,2.3015,1.4065,space,0.5583,2,19,1
16,1.4012,3.6765,1.3967,1.6611,2.1544,1.7573,n,20.9621,2,1,1
16,4.644,5.2862,1.53,2.0579,1.506,1.4514,space,1.6168,3,20,1
16,2.9089,9.5918,0.9099,2.6198,1.2045,1.9722,n,1.7734,2,7,1
16,12.9357,2.5303,2.23,1.6158,1.6055,1.5092,space,1.0429,1,21,1
16,2.1168,5.9267,1.1192,1.1077,1.4275,1.3761,space,0.001,3,23,1
16,1.6112,3.0658,1.1004,1.419,1.8423,1.7215,space,0.2819,2,13,1
16,3.4018,22.1817,1.1138,1.5927,1.8937,0.9962,y,0.8125,3,5,1
16,9.9378,6.7904,1.1767,1.297,1.6798,5.9332,y,2.7664,1,3,1
16,6.9856,6.8659,4.5396,5.4941,5.741,2.2665,n,0.8059,3,8,1
16,10.7158,11.0316,1.0106,6.1036,2.4178,0.1926,space,6.9543,1,18,1
16,4.3071,6.9142,1.4457,3.2359,5.1649,1.4839,space,0.9106,2,16,1
16,7.7089,8.5322,1.7333,5.1751,1.8878,1.3738,space,0.3353,3,14,1
16,8.5049,7.7239,0.7185,1.8223,4.3301,2.0653,space,0.4976,2,22,1
16,1.1936,3.0957,3.8677,8.5075,1.1418,1.2791,y,4.762,1,12,1
