participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
65,2.0965,3.265,1.076,1.0991,1.841,1.3278,space,0.014,2,17,1
65,1.8716,2.0717,1.2407,1.6245,2.4027,1.3022,y,0.9528,2,2,1
65,2.6761,1.8717,1.2996,1.4391,1.2652,1.2878,y,0.6019,3,3,1
65,1.9356,1.7161,1.2683,1.4491,1.4378,1.2571,y,0.4513,1,4,1
65,3.3768,2.5984,1.3056,1.5545,2.3579,1.0926,space,1.0224,3,21,1
65,1.6157,2.07,1.1911,1.4603,2.5092,2.386,n,0.4842,2,8,1
65,2.0922,1.5846,1.2178,1.3033,1.5689,1.6823,y,0.6614,3,6,1
65,1.6176,2.213,0.1889,0.0342,1.9907,1.438,space,1.3342,3,15,1
65,6.9149,1.836,1.4308,1.1347,0.9542,0.8494,n,1.5682,1,10,1
65,0.8978,1.8565,1.5489,1.0154,0.9329,1.2847,n,0.9595,3,12,1
65,1.3343,2.4506,1.3552,0.9927,1.0344,1.1331,n,1.5836,2,11,1
65,4.8014,4.9237,1.3984,1.3,1.2671,1.0845,space,1.2584,1,16,1
65,13.2624,2.2531,1.0666,1.0655,1.6048,1.0791,space,0.3842,1,22,1
65,1.0613,3.0135,1.148,1.5563,2.5878,0.7751,space,0.201,3,18,1
65,1.3277,15.3498,0.8357,1.3645,1.1489,1.4516,space,0.5446,2,14,1
65,1.6153,2.2137,1.0446,1.2177,0.966,0.9419,space,0.7241,1,19,1
65,1.5491,2.2345,0.9407,1.6355,1.4973,0.7164,y,1.174,2,5,1
65,2.5185,1.6661,0.9927,0.9647,0.882,1.1588,n,0.2951,1,7,1
65,1.2704,2.7333,1.0582,1.1627,1.1577,1.0978,y,0.3251,3,9,1
65,1.3932,2.2195,1.0262,1.1319,1.56,1.5491,space,0.6539,3,24,1
65,1.8129,2.3348,1.4194,0.9875,0.9214,1.4903,space,0.5632,2,20,1
65,1.4669,2.0295,0.9329,0.7324,1.1485,1.2059,space,0.1348,2,23,1
65,1.1862,2.3662,0.6392,1.019,1.2344,0.8849,space,0.3795,1,13,1
65,1.3564,2.532,1.0191,0.8646,1.5897,1.2321,y,1.1706,1,1,1
