participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
40,2.3563,4.0136,1.9072,2.1006,2.3119,2.349,y,0.7892,3,6,1
40,2.3855,3.7196,1.7036,3.1881,2.2954,2.5044,n,1.9669,2,11,1
40,3.8799,2.8838,1.2349,2.4124,1.5309,1.7058,space,0.4724,2,17,1
40,9.9453,4.6277,5.6326,8.8332,7.3951,1.8365,y,1.056,3,9,1
40,17.7242,3.0929,1.1753,2.1774,2.1755,1.1795,y,1.0146,2,2,1
40,3.0102,2.6492,1.7474,1.4357,1.8643,1.1265,y,0.5682,3,3,1
40,2.6428,2.7159,1.102,1.3248,1.1598,1.7707,space,1.1417,2,14,1
40,2.2858,5.0937,2.7156,2.5688,2.3988,2.25,space,0.2359,3,24,1
40,2.8478,2.971,1.3209,2.5335,1.9857,1.9826,y,0.2151,1,4,1
40,4.2133,30.6659,1.7066,1.8008,1.6548,1.3912,space,0.2526,1,19,1
40,2.4155,5.3506,2.2927,3.3571,2.3192,1.5467,n,0.4943,1,10,1
40,2.9068,4.7977,1.2995,1.6725,2.2572,1.8359,y,0.4141,1,1,1
40,1.6869,2.3699,1.4229,1.7164,1.5543,1.5844,y,2.194,3,12,1
40,1.8836,3.3965,1.2476,1.6855,1.5862,1.4979,space,0.2697,3,18,1
40,3.2615,7.5459,2.1313,1.915,1.3984,0.9809,y,0.4515,2,5,1
40,1.8622,5.0818,1.8345,2.813,2.4697,1.7192,space,0.2845,1,13,1
40,8.878,13.204,3.2506,2.4576,1.7977,1.57,space,0.2311,3,15,1
40,2.6087,3.2488,2.9002,1.9489,1.5976,1.2414,space,0.0917,3,21,1
40,2.044,2.1556,2.2372,2.1966,1.6009,1.8043,space,0.1698,2,20,1
40,1.7269,4.5973,1.9869,2.2456,2.0405,1.8338,n,0.3182,2,8,1
40,1.6975,3.5889,1.7356,1.6926,1.6497,1.6162,space,0.0859,1,16,1
40,2.5956,3.1963,1.3978,1.4315,1.4182,2.1279,n,1.3323,1,7,1
40,2.7501,4.9277,4.9256,4.0321,2.6324,3.476,space,0.7798,1,22,1
40,5.438,22.9143,1.9942,1.4355,2.3159,6.8343,space,0.2855,2,23,1
