participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
45,11.2034,9.7623,25.3985,3.1936,3.7149,3.7785,n,4.0798,1,12,1
45,4.233,8.9397,2.9183,7.2374,3.0789,3.0084,space,2.6123,2,16,1
45,5.6184,5.2283,2.7969,4.9132,3.3652,3.1791,space,8.8424,1,15,1
45,6.2332,14.9984,3.931,4.0257,3.4307,3.6255,y,2.8991,1,6,1
45,5.1395,33.0498,2.792,2.7295,1.8477,3.0559,space,2.2154,3,14,1
45,6.5983,4.473,3.4603,5.3863,3.2018,2.0558,y,2.444,3,5,1
45,9.8444,21.3839,2.2669,4.5071,1.8177,1.9269,space,1.9012,2,19,1
45,5.1654,15.9105,3.1727,2.5763,5.5421,2.896,y,2.2753,3,2,1
45,35.3975,4.5035,3.5756,3.4957,3.0998,3.1018,y,1.0832,2,4,1
45,27.1789,15.9736,3.1955,2.6596,2.5446,3.4854,space,13.4783,1,24,1
45,9.9609,8.2911,1.9273,3.1984,2.9335,1.2778,space,90.0308,2,22,1
45,7.9513,25.5274,2.9598,3.538,2.7274,2.943,space,1.2755,3,20,1
45,5.348,6.9961,2.4398,2.0001,1.7368,2.2837,space,0.108,1,21,1
45,3.0466,3.7407,1.4775,2.9487,2.3791,1.8592,space,1.3625,2,13,1
45,4.3083,4.2951,2.3979,3.2344,2.2658,2.2322,n,1.1611,2,7,1
45,4.6226,9.471,1.7276,3.029,2.4197,3.1496,space,0.1226,3,17,1
45,3.3404,34.3532,1.7554,2.3157,2.3997,1.2397,n,1.5938,3,11,1
45,4.5746,4.5268,2.7511,2.8321,2.6667,1.7226,n,2.3195,3,8,1
45,6.7132,4.0308,2.1168,4.1853,1.8751,2.4917,n,1.2446,2,10,1
45,13.0912,3.8061,1.6476,2.8015,2.6371,4.32,y,1.6244,1,9,1
45,7.4492,6.6225,2.7159,2.7657,1.5554,1.5512,space,1.2921,3,23,1
45,18.7376,5.8892,1.7432,2.958,2.6324,2.2412,space,36.5085,1,18,1
45,4.1416,3.4117,1.069,1.2733,1.3404,1.21,y,1.6393,1,3,1
45,4.1883,6.8971,1.1625,3.1498,4.1403,2.4353,y,4.5894,2,1,1
