participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
54,2.8043,3.0775,2.3205,2.8127,1.4637,1.1274,space,0.6165,2,15,1
54,2.8273,3.4453,1.7874,1.3151,1.2142,2.749,space,1.8415,1,17,1
54,1.1724,2.9506,4.3741,1.4339,1.9902,1.5687,n,0.9095,1,8,1
54,1.8692,3.5306,1.3997,1.4174,2.3705,3.1077,space,2.9524,2,24,1
54,1.4307,2.2362,1.5957,0.8963,2.1021,1.3974,n,1.1925,3,10,1
54,2.4346,3.22,1.2324,0.9643,1.4407,1.6803,space,1.1699,3,19,1
54,4.3086,3.5842,1.3787,1.9678,2.337,0.9994,y,1.4345,1,5,1
54,2.2478,2.9539,1.746,1.9735,1.504,2.8525,space,0.8714,1,14,1
54,1.654,4.0854,1.5994,1.096,1.1791,2.0953,n,0.8024,3,7,1
54,2.2347,2.3751,1.3587,1.228,1.7526,1.6409,y,1.3688,2,3,1
54,1.3882,2.7322,1.2579,0.9806,2.3006,1.5836,y,3.4463,3,1,1
54,2.4148,2.8044,1.6707,2.3542,1.8483,1.818,y,2.2837,2,9,1
54,3.5666,7.0814,1.2369,1.9753,1.8563,1.4755,y,1.8566,1,2,1
54,4.9788,4.587,2.4152,1.8562,1.2469,3.0335,n,1.9948,1,11,1
54,2.47,4.7121,1.3199,1.0569,1.478,2.2206,space,1.217,1,23,1
54,1.0143,2.7628,1.6048,1.1096,1.5938,1.538,n,5.5666,2,12,1
54,1.6646,3.3409,1.324,1.2712,2.9674,2.0691,space,0.9712,3,13,1
54,1.5979,2.2459,1.2262,1.886,1.7464,2.1565,y,1.3115,2,6,1
54,3.2456,3.619,1.8438,1.98,1.5178,1.8179,space,0.6695,1,20,1
54,1.5589,4.2182,1.5416,1.83,1.547,1.7512,space,0.6626,3,16,1
54,2.6979,4.2866,1.0648,0.9664,1.9682,1.4464,space,0.8297,2,18,1
54,2.871,2.4037,1.0671,1.336,1.582,1.3352,space,0.0672,2,21,1
54,1.6714,6.9298,1.2961,1.2287,1.9656,1.791,space,0.6403,3,22,1
54,2.4776,2.4984,0.8851,2.7512,2.4425,2.5501,y,1.054,3,4,1
