participant,RT1,RT2,RT3,RT4,RT5,RT6,Comp_Question_Resp,Comp_Question_RT,condition_number,item_number,experiment_number
35,2.193,1.5209,1.1506,1.6091,1.2871,1.573,y,0.6418,3,6,1
35,1.7001,2.5019,1.1308,1.0773,0.9659,1.1088,space,0.7525,2,14,1
35,1.392,2.2775,1.2564,1.1292,1.0042,1.1437,n,0.3422,2,8,1
35,1.6401,2.0735,1.1306,1.4359,1.1083,1.3001,y,0.2671,3,3,1
35,1.2128,2.23,1.4291,1.3167,1.3202,1.1099,n,0.3469,1,10,1
35,1.4597,2.4581,1.2505,1.0697,1.1252,1.1601,n,0.6668,1,7,1
35,2.1094,1.9352,1.2717,0.884,0.9199,1.4293,space,0.2977,3,24,1
35,1.5884,3.9643,1.3136,1.2532,1.3065,1.2131,space,0.5618,2,23,1
35,1.8645,3.7908,1.2769,1.1767,1.1108,1.0335,n,0.6824,2,11,1
35,1.3143,2.4618,1.2863,1.2935,0.9787,1.1159,space,0.4993,1,19,1
35,1.662,2.6477,1.3094,1.2327,1.3556,1.2995,y,0.4805,1,1,1
35,1.5923,2.3599,1.398,1.1534,1.2969,0.8877,space,0.1337,3,21,1
35,2.0989,1.6071,1.1407,0.9198,3.032,2.0446,space,0.2356,1,16,1
35,1.9728,1.6946,1.9334,1.5579,2.2584,1.4497,y,0.3697,3,9,1
35,1.1651,2.1143,1.0662,1.0667,1.1731,0.9553,space,0.1968,3,15,1
35,1.8541,2.567,2.23,1.1467,1.2373,1.0497,y,0.4768,2,2,1
35,1.2299,2.2193,1.1049,1.6131,1.4404,1.0194,space,0.4938,2,17,1
35,2.5796,1.2681,1.0882,0.943,0.8424,0.9577,y,0.1869,1,4,1
35,1.0055,1.2801,1.1265,0.8868,0.9301,0.7863,space,0.0426,1,13,1
35,1.3516,2.3916,0.8964,1.1017,0.9677,1.0548,space,0.1166,3,18,1
35,1.4444,1.646,0.8892,1.0647,0.9984,1.5686,space,0.2838,1,22,1
35,1.1268,1.5064,1.0005,1.1642,1.1143,1.3658,n,0.9876,3,12,1
35,2.2401,1.6709,0.9832,1.1333,1.17,0.9816,y,0.419,2,5,1
35,1.6391,1.7117,1.2129,1.1769,1.0114,1.3925,space,0.0495,2,20,1
